technology,technology_name,category,survey_year,respondent_count,worked_with_count,want_to_work_with_count,admired_count,developer_usage_share,developer_interest_share,developer_admiration_share,source_type
.NET,.NET,Other Framework/Library,2022,73268,15850,11824,0,0.2163290931921166,0.161380138668996,0.0,official_stackoverflow_developer_survey
.NET (5+),.NET (5+),Other Framework/Library,2023,89184,17005,13889,0,0.1906732149264442,0.1557342124147829,0.0,official_stackoverflow_developer_survey
.NET (5+),.NET (5+),Other Framework/Library,2024,65437,11542,9440,8205,0.17638339165915307,0.144260892155814,0.1253877775570396,official_stackoverflow_developer_survey
.NET Core / .NET 5,.NET Core / .NET 5,Other Framework/Library,2021,83439,15310,13630,0,0.1834873380553458,0.16335286856266254,0.0,official_stackoverflow_developer_survey
.NET Framework,.NET Framework,Other Framework/Library,2021,83439,16620,7761,0,0.199187430338331,0.09301405817423507,0.0,official_stackoverflow_developer_survey
.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),Other Framework/Library,2023,89184,11452,3854,0,0.1284086831718694,0.043214029422317904,0.0,official_stackoverflow_developer_survey
.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),Other Framework/Library,2024,65437,7525,2743,2534,0.1149961031220869,0.04191818084569892,0.038724269144367864,official_stackoverflow_developer_survey
.NET MAUI,.NET MAUI,Other Framework/Library,2023,89184,1573,3832,0,0.017637692859705775,0.04296734840330104,0.0,official_stackoverflow_developer_survey
.NET MAUI,.NET MAUI,Other Framework/Library,2024,65437,1446,2336,768,0.02209759004844354,0.03569845805889634,0.011736479361828934,official_stackoverflow_developer_survey
APL,APL,Language,2021,83439,536,568,0,0.006423854552427522,0.00680736825705006,0.0,official_stackoverflow_developer_survey
APL,APL,Language,2022,73268,504,608,0,0.006878855707812414,0.008298302123710214,0.0,official_stackoverflow_developer_survey
APL,APL,Language,2023,89184,225,407,0,0.0025228740581270184,0.004563598851811984,0.0,official_stackoverflow_developer_survey
APT,APT,Tool,2023,89184,5780,3964,0,0.06480983135988518,0.044447434517402226,0.0,official_stackoverflow_developer_survey
APT,APT,Tool,2024,65437,5669,4134,3979,0.08663294466433363,0.06317526781484481,0.060806577318642356,official_stackoverflow_developer_survey
ASP.NET,ASP.NET,Web Framework,2021,83439,9918,4488,0,0.11886527882644807,0.05378779707331104,0.0,official_stackoverflow_developer_survey
ASP.NET,ASP.NET,Web Framework,2022,73268,8139,3848,0,0.11108533056723263,0.0525195173882186,0.0,official_stackoverflow_developer_survey
ASP.NET,ASP.NET,Web Framework,2023,89184,9185,4407,0,0.10298932543954073,0.04941469321851453,0.0,official_stackoverflow_developer_survey
ASP.NET,ASP.NET,Web Framework,2024,65437,6265,3246,2608,0.0957409416690863,0.04960496355273011,0.039855127832877424,official_stackoverflow_developer_survey
ASP.NET CORE,ASP.NET CORE,Web Framework,2023,89184,11896,10060,0,0.13338715464657339,0.11280050233225691,0.0,official_stackoverflow_developer_survey
ASP.NET CORE,ASP.NET CORE,Web Framework,2024,65437,8187,6905,5891,0.12511270382199674,0.10552134113727707,0.09002552072986231,official_stackoverflow_developer_survey
ASP.NET Core,ASP.NET Core,Web Framework,2021,83439,11404,10454,0,0.1366746964848572,0.1252891333788756,0.0,official_stackoverflow_developer_survey
ASP.NET Core,ASP.NET Core,Web Framework,2022,73268,10155,8894,0,0.1386007533984823,0.12138996560572146,0.0,official_stackoverflow_developer_survey
AWS,AWS,Platform,2021,83439,29138,26295,0,0.3492131976653603,0.31514040197030163,0.0,official_stackoverflow_developer_survey
AWS,AWS,Platform,2022,73268,25939,23701,0,0.35402904405743296,0.3234836490691707,0.0,official_stackoverflow_developer_survey
AWS,AWS,Platform,2023,89184,33818,27311,0,0.3791935773232867,0.3062320595622533,0.0,official_stackoverflow_developer_survey
AWS,AWS,Platform,2024,65437,22191,18040,14048,0.3391200696853462,0.2756850100096276,0.2146797683267876,official_stackoverflow_developer_survey
Ada,Ada,Language,2023,89184,677,660,0,0.007591047721564406,0.007400430570505921,0.0,official_stackoverflow_developer_survey
Ada,Ada,Language,2024,65437,542,558,218,0.008282775799624066,0.008527285786328836,0.003331448568852484,official_stackoverflow_developer_survey
Alibaba Cloud,Alibaba Cloud,Platform,2024,65437,548,525,224,0.008374467044638354,0.008022983938750249,0.0034231398138667725,official_stackoverflow_developer_survey
Angular,Angular,Web Framework,2021,83439,14471,11533,0,0.17343208811227365,0.1382207361066168,0.0,official_stackoverflow_developer_survey
Angular,Angular,Web Framework,2022,73268,11138,8402,0,0.15201725173336245,0.11467489217666649,0.0,official_stackoverflow_developer_survey
Angular,Angular,Web Framework,2023,89184,12537,9359,0,0.14057454251883747,0.10494034804449229,0.0,official_stackoverflow_developer_survey
Angular,Angular,Web Framework,2024,65437,8306,6364,4434,0.12693124684811347,0.09725384721182206,0.06775983006555925,official_stackoverflow_developer_survey
Angular.js,Angular.js,Web Framework,2021,83439,7242,4293,0,0.08679394527738828,0.05145076043576745,0.0,official_stackoverflow_developer_survey
Angular.js,Angular.js,Web Framework,2022,73268,4912,2773,0,0.06704154610471147,0.03784735491619807,0.0,official_stackoverflow_developer_survey
AngularJS,AngularJS,Web Framework,2023,89184,5176,2646,0,0.0580373161105131,0.029668998923573737,0.0,official_stackoverflow_developer_survey
AngularJS,AngularJS,Web Framework,2024,65437,3292,1835,761,0.05030792976450632,0.02804223910020325,0.011629506242645598,official_stackoverflow_developer_survey
Ansible,Ansible,Tool,2021,83439,5607,5876,0,0.06719879193183044,0.07042270401131366,0.0,official_stackoverflow_developer_survey
Ansible,Ansible,Tool,2022,73268,5210,5540,0,0.07110880602718786,0.07561281869301742,0.0,official_stackoverflow_developer_survey
Ansible,Ansible,Tool,2023,89184,6921,6359,0,0.07760360602798708,0.07130202726946537,0.0,official_stackoverflow_developer_survey
Ansible,Ansible,Tool,2024,65437,4272,4131,2522,0.06528416645017344,0.06312942219233766,0.03854088665433929,official_stackoverflow_developer_survey
Ant,Ant,Tool,2023,89184,2371,748,0,0.026585486185862935,0.008387154646573376,0.0,official_stackoverflow_developer_survey
Ant,Ant,Tool,2024,65437,1539,605,476,0.023518804346165014,0.009245533872274095,0.0072741721044668915,official_stackoverflow_developer_survey
Apache Kafka,Apache Kafka,Other Framework/Library,2022,73268,4748,6153,0,0.06480318829502647,0.08397936343287657,0.0,official_stackoverflow_developer_survey
Apache Kafka,Apache Kafka,Other Framework/Library,2023,89184,5984,7096,0,0.067097237172587,0.07956584140653032,0.0,official_stackoverflow_developer_survey
Apache Kafka,Apache Kafka,Other Framework/Library,2024,65437,4308,5227,2755,0.06583431392025918,0.07987835628161438,0.042101563335727496,official_stackoverflow_developer_survey
Apache Spark,Apache Spark,Other Framework/Library,2021,83439,2833,3453,0,0.03395294766236412,0.041383525689425806,0.0,official_stackoverflow_developer_survey
Apache Spark,Apache Spark,Other Framework/Library,2022,73268,2298,3155,0,0.03136430638204946,0.043061090789976525,0.0,official_stackoverflow_developer_survey
Apache Spark,Apache Spark,Other Framework/Library,2023,89184,2748,3282,0,0.03081270182992465,0.03680032292787944,0.0,official_stackoverflow_developer_survey
Apache Spark,Apache Spark,Other Framework/Library,2024,65437,2016,2521,1153,0.030808258324800955,0.03852560478017024,0.01762000091691245,official_stackoverflow_developer_survey
Apex,Apex,Language,2023,89184,579,481,0,0.006492195909580193,0.005393344097595981,0.0,official_stackoverflow_developer_survey
Apex,Apex,Language,2024,65437,502,389,215,0.0076715008328621425,0.005944649051759707,0.0032856029463453396,official_stackoverflow_developer_survey
Assembly,Assembly,Language,2021,83439,4632,3578,0,0.055513608744112465,0.0428816260981076,0.0,official_stackoverflow_developer_survey
Assembly,Assembly,Language,2022,73268,3887,3046,0,0.05305180979418027,0.04157340175792979,0.0,official_stackoverflow_developer_survey
Assembly,Assembly,Language,2023,89184,4753,3830,0,0.053294312881234304,0.04294492285611769,0.0,official_stackoverflow_developer_survey
Assembly,Assembly,Language,2024,65437,3233,3007,1409,0.04940629918853248,0.045952595626327614,0.02153216070418876,official_stackoverflow_developer_survey
Astro,Astro,Web Framework,2024,65437,1462,2271,1055,0.02234210003514831,0.03470513623790822,0.016122377248345737,official_stackoverflow_developer_survey
Bash/Shell,Bash/Shell,Language,2021,83439,22385,14043,0,0.2682798211867352,0.1683025923129472,0.0,official_stackoverflow_developer_survey
Bash/Shell,Bash/Shell,Language,2022,73268,20656,13242,0,0.2819238958344707,0.18073374460883332,0.0,official_stackoverflow_developer_survey
Bash/Shell (all shells),Bash/Shell (all shells),Language,2023,89184,28351,18279,0,0.317893344097596,0.20495828848223896,0.0,official_stackoverflow_developer_survey
Bash/Shell (all shells),Bash/Shell (all shells),Language,2024,65437,20412,13744,12776,0.31193361553860965,0.210034078579397,0.19524122438375843,official_stackoverflow_developer_survey
BigQuery,BigQuery,Database,2023,89184,3456,3643,0,0.038751345532831,0.04084813419447435,0.0,official_stackoverflow_developer_survey
BigQuery,BigQuery,Database,2024,65437,2531,2554,1286,0.03867842352186072,0.03902990662774883,0.019652490181395848,official_stackoverflow_developer_survey
Blazor,Blazor,Web Framework,2022,73268,2438,3880,0,0.033275099634219575,0.05295627013157177,0.0,official_stackoverflow_developer_survey
Blazor,Blazor,Web Framework,2023,89184,3501,4553,0,0.03925592034445641,0.051051758162899176,0.0,official_stackoverflow_developer_survey
Blazor,Blazor,Web Framework,2024,65437,2378,2971,1456,0.03634029677399636,0.04540244815624188,0.022250408790134023,official_stackoverflow_developer_survey
